"Sector Wise Projects"

"Sr.No.","Sector","Line Ministry","ProjectID","Project Name","Original Cost
(in Cr)","Latest Revised Cost
(in Cr)","Expenditure (Cumm.)
(in Cr)"
"1","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","400010","Construction of Terminal Building & Associated works at Leh Airport, Ladakh","480","640","512.55"
"2","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","611047","Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.","861.37","861.37","370.44"
"3","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","611495","Development of New Civil Enclave at Bagdogra Airport","1549","1549","548.3"
"4","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","611570","SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL","500.48","500.48","399.77"
"5","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","611602","Modernization of Chennai Airport, Phase II, Part 2","1207","1207","331.85"
"6","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612183","Development of New Civil Enclave at Bihta","1413","1413","15.53"
"7","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612194","Development of New Civil Enclave and associated works at Darbhanga Airport","911.66","911.66","426.22"
"8","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612786","Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport","265.91","265.91","176.38"
"9","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612787","Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport","320.47","320.47","169.11"
"10","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612788","Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.","322.45","322.45","240.99"
"11","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612789","Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28","484.57","484.57","242.51"
"12","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612791","Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.","328.3","328.3","153.52"
"13","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","612793","Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.","323.26","323.26","87.61"
"14","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","618977","Development of New Greenfield Airport at Bundi, Kota Rajasthan.","1507","1507","81.41"
"15","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","619054","Development of Keshod Airport.","363.1","363.1","108.64"
"16","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701101","Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna","1216.9","1216.9","1203.48"
"17","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701107","Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.","611.8","824.28","572.99"
"18","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701113","Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.","2869.65","2869.65","746.93"
"19","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701121","Construction of New Domestic Terminal Building at Rajahmundry Airport.","347.15","347.15","189.48"
"20","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701122","Development of New Integrated Civil Enclave at Agra Airport","579","579","224.58"
"21","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701126","Development of Dholera International Greenfield Airport , Gujarat","1305","1551","966.36"
"22","Aviation & Aviation Infrastructure","Ministry of Civil Aviation","701127","Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.","480","480","348.2"
